Player Name,Team,Runs,Matches,Inn,No,HS,AVG,BF,SR,100s,50s,4s,6s
Sai Sudharsan,GT,759,15,15,1,108*,54.21,486,156.17,1,6,88,21
Surya Kumar Yadav,MI,717,16,16,5,73*,65.18,427,167.91,0,5,69,38
Virat Kohli,RCB,657,15,15,3,73*,54.75,454,144.71,0,8,66,19
Shubman Gill,GT,650,15,15,2,93*,50,417,155.87,0,6,62,24
Mitchell Marsh,LSG,627,13,13,0,117,48.23,383,163.7,1,6,56,37
Shreyas Iyer,PBKS,604,17,17,5,97*,50.33,345,175.07,0,6,43,39
Yashasvi Jaiswal,RR,559,14,14,1,75,43,350,159.71,0,6,60,28
Prabhsimran Singh,PBKS,549,17,17,0,91,32.29,342,160.52,0,4,56,30
K L Rahul,DC,539,13,13,3,112*,53.9,360,149.72,1,3,52,21
Jos Buttler,GT,538,14,13,4,97*,59.78,330,163.03,0,5,52,24
Nicholas Pooran,LSG,524,14,14,2,87*,43.67,267,196.25,0,5,45,40
Heinrich Klaasen,SRH,487,13,13,2,105*,44.27,282,172.69,1,1,42,25
Priyansh Arya,PBKS,475,17,17,0,103,27.94,265,179.24,1,2,55,25
Aiden Markram,LSG,445,13,13,0,66,34.23,299,148.82,0,5,38,22
Abhishek Sharma,SRH,439,14,13,0,141,33.77,227,193.39,1,2,46,28
Rohit Sharma,MI,418,15,15,1,81,29.86,280,149.28,0,4,41,22
Phil Salt,RCB,403,13,13,1,65,33.58,229,175.98,0,4,48,22
Riyan Parag,RR,393,14,14,2,95,32.75,236,166.52,0,1,27,27
Ajinkya Rahane,KKR,390,13,12,1,61,35.45,264,147.72,0,3,36,20
Ryan Rickelton,MI,388,14,14,1,62*,29.85,257,150.97,0,3,47,17
Travis Head,SRH,374,13,12,0,76,31.17,230,162.6,0,3,50,15
Nehal Wadhera,PBKS,369,16,15,3,70,30.75,253,145.84,0,2,28,21
Shivam Dube,CSK,357,14,14,3,50,32.45,270,132.22,0,1,22,21
Ishan Kishan,SRH,354,14,13,3,106*,35.4,232,152.58,1,1,33,15
Shashank Singh,PBKS,350,17,14,7,61*,50,228,153.5,0,3,23,18
N Tilak Varma,MI,343,16,13,2,59,31.18,248,138.3,0,2,23,16
Dhruv Jurel,RR,333,14,13,4,70,37,213,156.33,0,2,22,22
Ayush Badoni,LSG,329,14,11,1,74,32.9,222,148.19,0,2,27,14
Rajat Patidar,RCB,312,15,14,1,64,24,217,143.77,0,2,25,14
Abishek Porel,DC,301,13,13,1,51,25.08,205,146.82,0,1,28,12
Ravindra Jadeja,CSK,301,14,14,5,77*,33.44,222,135.58,0,2,25,10
Tristan Stubbs,DC,300,14,13,7,41*,50,199,150.75,0,0,25,11
Angkrish Raghuvanshi,KKR,300,12,11,2,50,33.33,215,139.53,0,1,30,8
Sherfane Rutherford,GT,291,13,11,2,46,32.33,185,157.29,0,0,22,18
Sanju Samson,RR,285,9,9,1,66,35.63,203,140.39,0,1,27,13
Josh Inglis,PBKS,278,11,11,2,73,30.89,171,162.57,0,1,26,16
Rishabh Pant,LSG,269,14,13,2,118*,24.45,202,133.16,1,1,23,16
Axar Patel,DC,263,12,11,1,43,26.3,167,157.48,0,0,23,15
Jitesh Sharma,RCB,261,15,11,4,85*,37.29,148,176.35,0,1,24,17
Vaibhav Suryavanshi,RR,252,7,7,0,101,36,122,206.55,1,1,18,24
Naman Dhir,MI,252,16,12,4,46,31.5,138,182.6,0,0,24,13
Devdutt Padikkal,RCB,247,10,10,1,61,27.44,164,150.6,0,2,21,14
Sunil Narine,KKR,246,12,12,1,44,22.36,144,170.83,0,0,25,19
Ayush Mhatre,CSK,240,7,7,0,94,34.29,127,188.97,0,1,31,11
Shimron Hetmyer,RR,239,14,13,2,52,21.73,164,145.73,0,1,17,11
Aniket Verma,SRH,236,14,12,3,74,26.22,142,166.19,0,1,12,20
Will Jacks,MI,233,13,11,1,53,23.3,172,135.46,0,1,22,11
Dewald Brevis,CSK,225,6,6,0,57,37.5,125,180,0,2,13,17
Hardik Pandya,MI,224,15,12,3,48*,24.89,137,163.5,0,0,18,12
Nitish Rana,RR,217,11,11,1,81,21.7,134,161.94,0,2,27,9
Rinku Singh,KKR,206,13,11,4,38*,29.43,134,153.73,0,0,20,10
Ashutosh Sharma,DC,204,13,9,2,66*,29.14,127,160.62,0,1,14,13
Faf Du Plessis,DC,202,9,9,0,62,22.44,163,123.92,0,2,18,8
Karun Nair,DC,198,8,8,0,89,24.75,115,172.17,0,1,24,10
MS Dhoni,CSK,196,14,13,5,30*,24.5,145,135.17,0,0,12,12
Rachin Ravindra,CSK,191,8,8,1,65*,27.29,149,128.18,0,1,18,4
Tim David,RCB,187,12,9,6,50*,62.33,101,185.14,0,1,16,14
Nitish Kumar Reddy,SRH,182,13,11,3,32,22.75,153,118.95,0,0,16,4
